Zeit/s,U_AB (V),U_mano (V),U_sample (V),U_field (V),pressure_manometer/Pascal,temp_manometer/K
0.0,0.10517957,0.002542655,7.7919e-05,2.47e-06,267.2859088338889,1.390287349024159
1.0,0.10518251,0.002550902,7.7846e-05,5.084e-06,268.1528400102196,1.3908746909892231
2.0,0.1051775,0.002573273,7.8013e-05,2.3243e-05,270.50449726081905,1.392460484984104
3.0,0.10516167,0.002563414,7.7396e-05,4.3539e-05,269.4681113668644,1.391762952377281
4.0,0.10513766,0.002565374,7.7689e-05,6.3638e-05,269.67414812030296,1.3919017908850135
5.0,0.10513837,0.002549085,7.7825e-05,8.4037e-05,267.9618355301186,1.3907454139995434
6.0,0.10514361,0.002563394,7.8704e-05,0.000104126,269.466008951013,1.391761535230063
7.0,0.10514346,0.002565741,7.9165e-05,0.00012409,269.7127274511764,1.3919277784674784
8.0,0.10514086,0.002566517,7.9825e-05,0.000144427,269.7943011862113,1.3919827181195819
9.001,0.10516525,0.00254539,8.0212e-05,0.000144002,267.5734142015698,1.3904822975147675
10.0,0.10514363,0.002565435,7.9982e-05,0.000144738,269.6805604886498,1.3919061105483683
11.0,0.10513516,0.002578988,8.0421e-05,0.00014507,271.10526259036067,1.3928638699452804
12.0,0.10514245,0.002558393,8.0013e-05,0.000145444,268.94029986736683,1.3914069058886078
13.0,0.10514098,0.002563924,8.0547e-05,0.000146035,269.52172297107546,1.3917990867106194
14.0,0.10513377,0.002563924,8.0516e-05,0.000146253,269.52172297107546,1.3917990867106194
15.0,0.10513738,0.002573763,8.0034e-05,0.000146481,270.5560064491787,1.3924950983578426
16.0,0.10512129,0.002567701,8.039e-05,0.000147125,269.918764204615,1.3920665185468397
17.001,0.10512566,0.002546942,8.0264e-05,0.000147498,267.73656167163955,1.39059284991832
18.0,0.10511297,0.002571558,8.0662e-05,0.000147955,270.32421510156024,1.3923392975807196
19.0,0.10512445,0.002570987,8.0327e-05,0.000147478,270.26419112900237,1.3922989348667831
20.0,0.10511931,0.002565925,8.0536e-05,0.000148681,269.73206967700946,1.3919408065702568
21.0,0.10511803,0.002553821,8.0589e-05,0.000149283,268.4596876037335,1.391082223040505
22.0,0.10511682,0.002569783,8.016e-05,0.000149439,270.1376256947472,1.3922138038219134
23.0,0.10512984,0.002578458,8.0222e-05,0.000149771,271.0495485702982,1.3928264900830327
24.0,0.10513807,0.002564353,8.0536e-05,0.000150352,269.5668197910883,1.3918294777097997
25.0,0.10512977,0.002551779,8.084e-05,0.000150839,268.2450309453041,1.3909370625383022
26.0,0.10514114,0.002554004,8.0683e-05,0.000151192,268.47892470877395,1.3910952276053932
27.0,0.10513198,0.002567272,8.107e-05,0.000151649,269.8736673846022,1.3920361585384402
28.0,0.10516254,0.002569272,8.1102e-05,0.00015197,270.0839089697436,1.39217766319595
29.0,0.10516,0.002541329,8.083e-05,0.000152635,267.1465186629402,1.3901927738281272
30.0,0.10516755,0.002645755,8.1301e-05,0.000152852,278.12386254792955,1.397525518594346
31.0,0.10520498,0.002575375,8.0945e-05,0.000153278,270.7254611668027,1.3926089329511961
