Zeit/s,U_AB (V),U_mano (V),U_sample (V),U_field (V),U_AB (V) error,U_mano (V) error,U_sample (V) error,U_field (V) error,pressure_manometer/Pascal,temp_manometer/K,pressure_manometer error/Pascal,temp_manometer_lower/K,temp_manometer_upper/K,R_AB (Ohm),R_AB (Ohm) error,R_sample (Ohm),R_sample (Ohm) error,I_coil (Ohm),mag field (gauss),mag field (gauss) error
0.0,0.017616627,0.20184735,7.7794e-05,2.853e-06,4.38083135e-06,1.3592367500000002e-05,3.5038897e-06,3.50014265e-06,21218.35341029832,2.918112165755735,1.4820056578477878,2.9180673560430783,2.918156973334137,17616.627,4.38083135,0.0007779399999999999,3.5038897e-05,0.00742002600780234,3.142573354639336,3.8553995896693705
1.0,0.017621896,0.20177796,7.7982e-05,2.864e-06,4.3810948e-06,1.3588898e-05,3.5038991e-06,3.5001431999999997e-06,21211.059078501836,2.917891594771093,1.4816299997602689,2.9178467859113786,2.9179364014963927,17621.896,4.3810948000000005,0.00077982,3.5038990999999996e-05,0.007448634590377113,3.154689830945339,3.8554001954931842
2.001,0.017624303,0.20169878,7.7783e-05,2.3533e-05,4.38121515e-06,1.3584939000000001e-05,3.50388915e-06,3.50117665e-06,21202.735614146088,2.9176398409752706,1.4812013413459477,2.917595033087866,2.917684646728075,17624.303,4.38121515,0.00077783,3.5038891499999994e-05,0.06120416124837451,25.921548809928993,3.856538538442141
3.0,0.017623165,0.20167755,7.8003e-05,4.3653e-05,4.38115825e-06,1.35838775e-05,3.50390015e-06,3.50218265e-06,21200.50389971981,2.917572328468392,1.4810864080529944,2.9175275208415097,2.917617133960625,17623.165,4.3811582499999995,0.00078003,3.5039001499999995e-05,0.11353185955786735,48.08368547145836,3.8576466452752527
4.0,0.017626677,0.20168633,7.9364e-05,6.0027e-05,4.38133385e-06,1.3584316500000002e-05,3.5039682e-06,3.5030013499999998e-06,21201.42686027858,2.9176002499138383,1.4811339405217714,2.917555442179222,2.9176450555138262,17626.677,4.38133385,0.0007936399999999999,3.5039682e-05,0.15611703511053315,66.1196112018701,3.8585484415618225
5.0,0.017627447,0.20166265,7.9207e-05,6.0089e-05,4.38137235e-06,1.3583132500000001e-05,3.5039603499999998e-06,3.50300445e-06,21198.937599910507,2.917524942797137,1.4810057436128155,2.917480135353055,2.9175697481065352,17627.447,4.38137235,0.00079207,3.5039603499999995e-05,0.1562782834850455,66.187904068322,3.8585518562051675
6.0,0.017630851,0.20157714,7.9134e-05,6.0743e-05,4.38154255e-06,1.3578857e-05,3.5039567e-06,3.50303715e-06,21189.948720937784,2.917252953748804,1.4805428163457202,2.917208147353087,2.9172977580096373,17630.851,4.38154255,0.00079134,3.5039567e-05,0.1579791937581274,66.90828365960637,3.858587875184597
7.0,0.017631978,0.20144674,7.9343e-05,6.1012e-05,4.3815988999999995e-06,1.3572337000000002e-05,3.50396715e-06,3.5030506e-06,21176.240969586568,2.9168380276722035,1.4798368671511326,2.9167932228728786,2.916882830336341,17631.978,4.381598899999999,0.00079343,3.5039671499999995e-05,0.15867880364109233,67.20458658018039,3.858602690330841
8.0,0.017640716,0.20137306,7.9448e-05,6.149e-05,4.3820358e-06,1.3568653e-05,3.5039724e-06,3.5030745e-06,21168.495669589953,2.916603500720147,1.4794379842013068,2.9165586968215838,2.9166483024833503,17640.716,4.382035800000001,0.00079448,3.5039724e-05,0.15992197659297788,67.73110255056872,3.8586290161291856
9.0,0.01764077,0.20127245,7.9521e-05,6.2102e-05,4.3820385e-06,1.35636225e-05,3.50397605e-06,3.5031051e-06,21157.919466649415,2.916283159764083,1.478893309749869,2.9162383570940515,2.916327960298518,17640.77,4.3820385,0.00079521,3.50397605e-05,0.16151365409622884,68.40521923232096,3.8586627219632845
10.0,0.017646158,0.20118327,7.9856e-05,6.2558e-05,4.3823079e-06,1.35591635e-05,3.5039928e-06,3.5031279e-06,21148.544794367957,2.9159991204719145,1.4784105141273742,2.915954318889435,2.9160439199185877,17646.158,4.3823079,0.00079856,3.5039928e-05,0.1626996098829649,68.90750225009708,3.858687836114356
11.0,0.01764605,0.20115776,7.9176e-05,6.2683e-05,4.3823025e-06,1.3557888e-05,3.5039588e-06,3.50313415e-06,21145.863162949478,2.9159178550446487,1.4782724101093223,2.9158730537730224,2.915962654180413,17646.05,4.3823025,0.00079176,3.5039587999999996e-05,0.16302470741222364,69.04518948084716,3.8586947204757536
12.0,0.017649324,0.20113755,7.9668e-05,6.3129e-05,4.3824662e-06,1.35568775e-05,3.5039833999999997e-06,3.50315645e-06,21143.738671731626,2.915853468467882,1.478162998811603,2.9158086674424455,2.9158982673574068,17649.324,4.3824662000000005,0.0007966799999999999,3.5039833999999996e-05,0.16418465539661897,69.53645752016348,3.8587192838775906
13.0,0.017653346,0.20102857,8.0453e-05,6.3503e-05,4.3826673e-06,1.35514285e-05,3.50402265e-06,3.50317515e-06,21132.282607757268,2.915506195516027,1.4775730115169234,2.9154613958169695,2.915550993078917,17653.346,4.3826673000000005,0.0008045299999999999,3.50402265e-05,0.16515734720416125,69.94841771456763,3.8587398818873737
14.0,0.017656577,0.20092204,7.994e-05,6.3855e-05,4.38282885e-06,1.3546102000000001e-05,3.503997e-06,3.50319275e-06,21121.08408972471,2.915166605558983,1.476996287838247,2.9151218071545646,2.9152114018269843,17656.577,4.38282885,0.0007993999999999999,3.5039969999999994e-05,0.16607282184655398,70.33614495635983,3.858759268249486
15.0,0.017664957,0.20080266,7.9877e-05,6.4094e-05,4.3832478499999995e-06,1.3540133000000001e-05,3.5039938499999998e-06,3.5032047e-06,21108.53476950762,2.91478590720676,1.4763499978470669,2.9147411102508842,2.9148307020259376,17664.957,4.38324785,0.0007987699999999999,3.50399385e-05,0.16669440832249674,70.59940294155392,3.8587724311487506
16.0,0.017664989,0.20072939,7.9594e-05,6.4717e-05,4.38324945e-06,1.3536469500000002e-05,3.5039797e-06,3.50323585e-06,21100.832569035963,2.914552175473512,1.4759533345227764,2.914507379405498,2.9145969694046534,17664.989,4.38324945,0.00079594,3.5039796999999995e-05,0.16831469440832247,71.28563609961219,3.8588067428066353
17.0,0.017665824,0.20071123,7.95e-05,6.5204e-05,4.3832912e-06,1.3535561500000001e-05,3.5039749999999998e-06,3.5032602e-06,21098.923575442877,2.914494235968711,1.4758550213527326,2.914449440120614,2.9145390296798905,17665.824,4.3832912,0.0007949999999999999,3.503974999999999e-05,0.16958127438231468,71.82206555061448,3.8588335642792657
18.0,0.017668328,0.20070694,8.017e-05,6.5308e-05,4.3834164e-06,1.3535347000000001e-05,3.5040084999999997e-06,3.5032654e-06,21098.472607242747,2.914480548195811,1.475831796490426,2.9144357523996574,2.9145253418550374,17668.328,4.3834164,0.0008016999999999999,3.5040084999999996e-05,0.16985175552665802,71.9366213265985,3.8588392920679837
19.0,0.017669835,0.20059531,8.0777e-05,6.5785e-05,4.3834917499999996e-06,1.3529765500000001e-05,3.50403885e-06,3.5032892499999997e-06,21086.73797316808,2.9141243087772337,1.4752274628355806,2.9140795143316187,2.914169101085659,17669.835,4.38349175,0.00080777,3.5040388499999996e-05,0.17109232769830948,72.46203579914065,3.8588655627916637
20.0,0.017675516,0.20045857,7.9762e-05,6.6159e-05,4.3837758e-06,1.35229285e-05,3.5039881e-06,3.50330795e-06,21072.363755991963,2.9136877527420153,1.4744871906510102,2.9136429599478624,2.913732543398655,17675.516,4.3837758,0.00079762,3.5039881e-05,0.17206501950585176,72.87399599354494,3.8588861608013474
21.0,0.017683831,0.20033184,8.0746e-05,6.6595e-05,4.38419155e-06,1.3516592000000002e-05,3.5040373e-06,3.50332975e-06,21059.041797949474,2.913282973253238,1.4738011098118222,2.9132381819868267,2.9133277623818326,17683.831000000002,4.384191550000001,0.00080746,3.5040373e-05,0.17319895968790636,73.35424905440108,3.858910173454376
22.0,0.017680546,0.20023674,8.0379e-05,6.7373e-05,4.3840273e-06,1.3511837000000001e-05,3.5040189499999997e-06,3.5033686499999998e-06,21049.044810576,2.9129791062398973,1.4732862649620884,2.9129343161181387,2.913023894223614,17680.546,4.3840273000000005,0.00080379,3.50401895e-05,0.17522236671001298,74.21121437858955,3.8589530217207084
23.0,0.01768743,0.20015429,8.0767e-05,6.7394e-05,4.3843715e-06,1.35077145e-05,3.50403835e-06,3.5033697e-06,21040.37760122855,2.9127155793030264,1.4728399036806943,2.912670790172418,2.9127603662953976,17687.43,4.3843715,0.0008076699999999999,3.5040383499999996e-05,0.17527698309492848,74.23434583335549,3.8589541782932884
24.001,0.017690292,0.20009837,8.0809e-05,6.7892e-05,4.3845146e-06,1.35049185e-05,3.50404045e-06,3.5033946e-06,21034.499246507992,2.9125368054940814,1.4725371684125859,2.9124920170350412,2.91258159181475,17690.292,4.3845146,0.00080809,3.504040449999999e-05,0.17657217165149547,74.78289176066376,3.8589816055896335
25.0,0.017694022,0.20000551,8.106e-05,6.8203e-05,4.3847011e-06,1.3500275500000001e-05,3.504053e-06,3.50341015e-06,21024.737729709876,2.9122398608246756,1.472034450297483,2.9121950734796562,2.9122846460311007,17694.022,4.3847011,0.0008106,3.504052999999999e-05,0.17738101430429126,75.12545759076987,3.85899873388135
26.0,0.017701404,0.19987123,8.1028e-05,6.8639e-05,4.3850702e-06,1.3493561500000002e-05,3.5040514e-06,3.50343195e-06,21010.622109683478,2.911810298295162,1.4713074958661234,2.9117655125584694,2.9118550818929427,17701.404000000002,4.3850702,0.0008102799999999999,3.5040513999999996e-05,0.1785149544863459,75.60571065162608,3.8590227465342792
27.0,0.017699887,0.19972878,8.0934e-05,6.923e-05,4.38499435e-06,1.3486439e-05,3.5040467e-06,3.5034615e-06,20995.64765278178,2.911354384676352,1.470536311335686,2.9113096006424675,2.9113991665709795,17699.887000000002,4.38499435,0.0008093399999999999,3.5040466999999994e-05,0.1800520156046814,76.25669587861232,3.8590552957956277
28.0,0.017708256,0.19967286,8.2295e-05,6.9625e-05,4.3854128e-06,1.3483643000000002e-05,3.50411475e-06,3.50348125e-06,20989.769298061226,2.9111753511595126,1.4702335760675775,2.9111305677931316,2.9112201323865032,17708.256,4.3854128,0.0008229499999999999,3.50411475e-05,0.18107932379713912,76.69178752778247,3.859077050378076
29.0,0.017708267,0.19964409,8.7425e-05,6.9801e-05,4.38541335e-06,1.34822045e-05,3.50437125e-06,3.50349005e-06,20986.744972858967,2.911083227781408,1.470077823319661,2.9110384447582396,2.9111280086651203,17708.267,4.38541335,0.0008742499999999999,3.5043712499999995e-05,0.1815370611183355,76.88565114867859,3.8590867435591463
30.0,0.017708776,0.19960164,0.000107965,7.0361e-05,4.3854388e-06,1.3480082e-05,3.50539825e-06,3.50351805e-06,20982.28259521434,2.9109472836319044,1.4698480108709628,2.91090250111488,2.9109920640093665,17708.775999999998,4.3854388,0.00107965,3.50539825e-05,0.1829934980494148,77.50248994243887,3.859117585498794
31.0,0.017715183,0.19951898,0.000133215,7.0662e-05,4.38575915e-06,1.3475949000000002e-05,3.50666075e-06,3.5035331e-06,20973.593310500444,2.9106825122354985,1.4694005127081973,2.91063773070317,2.910727291628067,17715.183,4.38575915,0.00133215,3.50666075e-05,0.18377633289986994,77.83404079408501,3.859134163041375
32.0,0.017721872,0.19935307,0.000143004,7.1181e-05,4.3860936e-06,1.3467653500000001e-05,3.5071502e-06,3.50355905e-06,20956.152719805035,2.9101508537227514,1.4685023222873839,2.91010607416329,2.910195631142052,17721.872,4.3860936,0.0014300399999999998,3.5071502e-05,0.18512613784135237,78.40571817615924,3.8591627469105276
