Zeit/s,U_AB (V),U_mano (V),U_sample (V),U_field (V),U_AB (V) error,U_mano (V) error,U_sample (V) error,U_field (V) error,pressure_manometer/Pascal,temp_manometer/K,pressure_manometer error/Pascal,temp_manometer_lower/K,temp_manometer_upper/K,R_AB (Ohm),R_AB (Ohm) error,R_sample (Ohm),R_sample (Ohm) error,I_coil (Ohm),mag field (gauss),mag field (gauss) error,temp_corr/K,temp_corr error/K
0.0,0.017616627,0.20184735,7.7794e-05,2.853e-06,4.38083135e-06,1.3592367500000002e-05,3.5038897e-06,3.50014265e-06,21218.35341029832,2.918112165755735,1.4820056578477878,2.9180673560430783,2.918156973334137,17616.627,4.38083135,0.0007779399999999,3.5038897e-05,0.0074200260078023,3.142573354639336,3.8553995896693705,2.889811709314667,5.116743910216215e-05
1.0,0.017621896,0.20177796,7.7982e-05,2.864e-06,4.3810948e-06,1.3588898e-05,3.5038991e-06,3.5001432e-06,21211.05907850184,2.917891594771093,1.4816299997602689,2.9178467859113786,2.9179364014963927,17621.896,4.3810948000000005,0.00077982,3.5038991e-05,0.0074486345903771,3.154689830945339,3.855400195493184,2.8893837462427086,5.116586928410882e-05
2.001,0.017624303,0.20169878,7.7783e-05,2.3533e-05,4.38121515e-06,1.3584939e-05,3.50388915e-06,3.50117665e-06,21202.735614146088,2.91763984097527,1.4812013413459475,2.917595033087866,2.917684646728075,17624.303,4.38121515,0.00077783,3.5038891499999994e-05,0.0612041612483745,25.921548809928996,3.856538538442141,2.8891883276422714,5.116515187442161e-05
3.0,0.017623165,0.20167755,7.8003e-05,4.3653e-05,4.38115825e-06,1.35838775e-05,3.50390015e-06,3.50218265e-06,21200.50389971981,2.917572328468392,1.4810864080529944,2.9175275208415097,2.917617133960625,17623.165,4.38115825,0.00078003,3.5039001499999995e-05,0.1135318595578673,48.08368547145836,3.8576466452752527,2.889280712532452,5.116549107864188e-05
4.0,0.017626677,0.20168633,7.9364e-05,6.0027e-05,4.38133385e-06,1.3584316500000002e-05,3.5039682e-06,3.50300135e-06,21201.42686027858,2.9176002499138383,1.4811339405217714,2.917555442179222,2.9176450555138262,17626.677,4.38133385,0.0007936399999999,3.5039682e-05,0.1561170351105331,66.1196112018701,3.8585484415618234,2.888995640259552,5.1164444128115605e-05
5.0,0.017627447,0.20166265,7.9207e-05,6.0089e-05,4.38137235e-06,1.35831325e-05,3.50396035e-06,3.50300445e-06,21198.937599910507,2.917524942797137,1.4810057436128157,2.917480135353055,2.9175697481065352,17627.447,4.38137235,0.00079207,3.5039603499999995e-05,0.1562782834850455,66.187904068322,3.858551856205168,2.8889331537600076,5.116421453577047e-05
6.0,0.017630851,0.20157714,7.9134e-05,6.0743e-05,4.38154255e-06,1.3578857e-05,3.5039567e-06,3.50303715e-06,21189.948720937784,2.917252953748804,1.4805428163457202,2.917208147353087,2.9172977580096373,17630.851,4.38154255,0.00079134,3.5039567e-05,0.1579791937581274,66.90828365960637,3.858587875184597,2.8886569798206527,5.116319934383995e-05
7.0,0.017631978,0.20144674,7.9343e-05,6.1012e-05,4.3815989e-06,1.3572337000000002e-05,3.50396715e-06,3.5030506e-06,21176.240969586568,2.9168380276722035,1.4798368671511326,2.9167932228728786,2.916882830336341,17631.978,4.381598899999999,0.00079343,3.5039671499999995e-05,0.1586788036410923,67.20458658018039,3.858602690330841,2.888565567236085,5.1162863154985416e-05
8.0,0.017640716,0.20137306,7.9448e-05,6.149e-05,4.3820358e-06,1.3568653e-05,3.5039724e-06,3.5030745e-06,21168.495669589956,2.916603500720147,1.4794379842013068,2.916558696821584,2.9166483024833503,17640.716,4.382035800000001,0.00079448,3.5039724e-05,0.1599219765929778,67.73110255056872,3.8586290161291856,2.887857209920015,5.11602552770718e-05
9.0,0.01764077,0.20127245,7.9521e-05,6.2102e-05,4.3820385e-06,1.35636225e-05,3.50397605e-06,3.5031051e-06,21157.91946664941,2.916283159764083,1.478893309749869,2.9162383570940515,2.916327960298518,17640.77,4.3820385,0.00079521,3.50397605e-05,0.1615136540962288,68.40521923232096,3.858662721963285,2.8878528345107286,5.1160239153524856e-05
10.0,0.017646158,0.20118327,7.9856e-05,6.2558e-05,4.3823079e-06,1.35591635e-05,3.5039928e-06,3.5031279e-06,21148.54479436796,2.9159991204719145,1.4784105141273742,2.915954318889435,2.916043919918588,17646.158,4.3823079,0.00079856,3.5039928e-05,0.1626996098829649,68.90750225009708,3.858687836114356,2.8874163998488247,5.115862993587683e-05
11.0,0.01764605,0.20115776,7.9176e-05,6.2683e-05,4.3823025e-06,1.3557888e-05,3.5039588e-06,3.50313415e-06,21145.86316294948,2.9159178550446487,1.4782724101093223,2.9158730537730224,2.915962654180413,17646.05,4.3823025,0.00079176,3.5039588e-05,0.1630247074122236,69.04518948084716,3.8586947204757536,2.887425145378101,5.1158662200290195e-05
12.0,0.017649324,0.20113755,7.9668e-05,6.3129e-05,4.3824662e-06,1.35568775e-05,3.5039834e-06,3.50315645e-06,21143.738671731626,2.915853468467882,1.478162998811603,2.915808667442445,2.9158982673574068,17649.324,4.3824662000000005,0.0007966799999999,3.5039834e-05,0.1641846553966189,69.53645752016348,3.858719283877591,2.8871600735915526,5.115768394903242e-05
13.0,0.017653346,0.20102857,8.0453e-05,6.3503e-05,4.3826673e-06,1.35514285e-05,3.50402265e-06,3.50317515e-06,21132.282607757268,2.915506195516027,1.4775730115169234,2.915461395816969,2.915550993078917,17653.346,4.3826673000000005,0.0008045299999999,3.50402265e-05,0.1651573472041612,69.94841771456763,3.8587398818873737,2.886834575612798,5.11564817604615e-05
14.0,0.017656577,0.20092204,7.994e-05,6.3855e-05,4.38282885e-06,1.3546102e-05,3.503997e-06,3.50319275e-06,21121.08408972471,2.915166605558983,1.476996287838247,2.9151218071545646,2.9152114018269843,17656.577,4.38282885,0.0007993999999999,3.5039969999999994e-05,0.1660728218465539,70.33614495635983,3.858759268249486,2.8865731996283506,5.115551565326726e-05
15.0,0.017664957,0.20080266,7.9877e-05,6.4094e-05,4.38324785e-06,1.3540133e-05,3.50399385e-06,3.5032047e-06,21108.53476950762,2.91478590720676,1.4763499978470669,2.914741110250884,2.9148307020259376,17664.957,4.38324785,0.0007987699999999,3.50399385e-05,0.1666944083224967,70.59940294155392,3.858772431148751,2.885895731761796,5.1153008482796025e-05
16.0,0.017664989,0.20072939,7.9594e-05,6.4717e-05,4.38324945e-06,1.3536469500000002e-05,3.5039797e-06,3.50323585e-06,21100.832569035963,2.914552175473512,1.4759533345227764,2.914507379405498,2.9145969694046534,17664.989,4.38324945,0.00079594,3.5039796999999995e-05,0.1683146944083224,71.28563609961219,3.8588067428066353,2.885893145997665,5.1152998905124036e-05
17.0,0.017665824,0.20071123,7.95e-05,6.5204e-05,4.3832912e-06,1.35355615e-05,3.503975e-06,3.5032602e-06,21098.92357544288,2.914494235968711,1.4758550213527326,2.914449440120614,2.9145390296798905,17665.824,4.3832912,0.0007949999999999,3.503974999999999e-05,0.1695812743823146,71.82206555061448,3.8588335642792657,2.8858256770084276,5.1152748970384465e-05
18.0,0.017668328,0.20070694,8.017e-05,6.5308e-05,4.3834164e-06,1.3535347e-05,3.5040085e-06,3.5032654e-06,21098.472607242747,2.914480548195811,1.475831796490426,2.9144357523996574,2.9145253418550374,17668.328,4.3834164,0.0008016999999999,3.5040085e-05,0.169851755526658,71.9366213265985,3.858839292067984,2.8856233888715095,5.115199934069281e-05
19.0,0.017669835,0.20059531,8.0777e-05,6.5785e-05,4.38349175e-06,1.35297655e-05,3.50403885e-06,3.50328925e-06,21086.73797316808,2.9141243087772337,1.4752274628355806,2.9140795143316187,2.914169101085659,17669.835,4.38349175,0.00080777,3.50403885e-05,0.1710923276983094,72.46203579914065,3.858865562791664,2.8855016718595836,5.115154809587352e-05
20.0,0.017675516,0.20045857,7.9762e-05,6.6159e-05,4.3837758e-06,1.35229285e-05,3.5039881e-06,3.50330795e-06,21072.363755991963,2.9136877527420157,1.4744871906510102,2.9136429599478624,2.913732543398655,17675.516,4.3837758,0.00079762,3.5039881e-05,0.1720650195058517,72.87399599354494,3.8588861608013474,2.8850430157986957,5.114984641574338e-05
21.0,0.017683831,0.20033184,8.0746e-05,6.6595e-05,4.38419155e-06,1.3516592000000002e-05,3.5040373e-06,3.50332975e-06,21059.041797949478,2.913282973253238,1.4738011098118222,2.9132381819868267,2.913327762381833,17683.831000000002,4.384191550000001,0.00080746,3.5040373e-05,0.1731989596879063,73.35424905440108,3.858910173454376,2.8843722318777574,5.1147354028557857e-05
22.0,0.017680546,0.20023674,8.0379e-05,6.7373e-05,4.3840273e-06,1.3511837e-05,3.50401895e-06,3.50336865e-06,21049.044810576,2.9129791062398973,1.4732862649620884,2.9129343161181387,2.913023894223614,17680.546,4.3840273000000005,0.00080379,3.50401895e-05,0.1752223667100129,74.21121437858955,3.858953021720709,2.8846371629414356,5.114833893804516e-05
23.0,0.01768743,0.20015429,8.0767e-05,6.7394e-05,4.3843715e-06,1.35077145e-05,3.50403835e-06,3.5033697e-06,21040.37760122855,2.9127155793030264,1.4728399036806945,2.912670790172418,2.9127603662953976,17687.43,4.3843715,0.0008076699999999,3.50403835e-05,0.1752769830949284,74.23434583335549,3.858954178293288,2.884082089444941,5.114627461155763e-05
24.001,0.017690292,0.20009837,8.0809e-05,6.7892e-05,4.3845146e-06,1.35049185e-05,3.50404045e-06,3.5033946e-06,21034.499246507992,2.912536805494081,1.472537168412586,2.912492017035041,2.91258159181475,17690.292,4.3845146,0.00080809,3.504040449999999e-05,0.1765721716514954,74.78289176066376,3.8589816055896335,2.8838514459089497,5.1145415964626295e-05
25.0,0.017694022,0.20000551,8.106e-05,6.8203e-05,4.3847011e-06,1.35002755e-05,3.504053e-06,3.50341015e-06,21024.73772970988,2.912239860824676,1.472034450297483,2.912195073479656,2.9122846460311007,17694.022,4.3847011,0.0008106,3.504052999999999e-05,0.1773810143042912,75.12545759076987,3.85899873388135,2.883550963128577,5.114429654229369e-05
26.0,0.017701404,0.19987123,8.1028e-05,6.8639e-05,4.3850702e-06,1.3493561500000002e-05,3.5040514e-06,3.50343195e-06,21010.62210968348,2.911810298295162,1.4713074958661234,2.9117655125584694,2.9118550818929427,17701.404000000002,4.3850702,0.0008102799999999,3.5040514e-05,0.1785149544863459,75.60571065162608,3.8590227465342792,2.8829566522677332,5.114207990564168e-05
27.0,0.017699887,0.19972878,8.0934e-05,6.923e-05,4.38499435e-06,1.3486439e-05,3.5040467e-06,3.5034615e-06,20995.64765278178,2.911354384676352,1.470536311335686,2.9113096006424675,2.9113991665709795,17699.887000000002,4.38499435,0.0008093399999999,3.5040466999999994e-05,0.1800520156046814,76.25669587861232,3.859055295795628,2.883078742836539,5.114253555449366e-05
28.0,0.017708256,0.19967286,8.2295e-05,6.9625e-05,4.3854128e-06,1.3483643000000002e-05,3.50411475e-06,3.50348125e-06,20989.769298061223,2.9111753511595126,1.4702335760675775,2.911130567793132,2.9112201323865032,17708.256,4.3854128,0.0008229499999999,3.50411475e-05,0.1810793237971391,76.69178752778247,3.859077050378076,2.882405451510586,5.114002099171344e-05
29.0,0.017708267,0.19964409,8.7425e-05,6.9801e-05,4.38541335e-06,1.34822045e-05,3.50437125e-06,3.50349005e-06,20986.744972858967,2.911083227781408,1.470077823319661,2.91103844475824,2.9111280086651203,17708.267,4.38541335,0.0008742499999999,3.5043712499999995e-05,0.1815370611183355,76.88565114867859,3.8590867435591454,2.8824045669699485,5.1140017685469275e-05
30.0,0.017708776,0.19960164,0.000107965,7.0361e-05,4.3854388e-06,1.3480082e-05,3.50539825e-06,3.50351805e-06,20982.28259521434,2.9109472836319044,1.4698480108709628,2.91090250111488,2.9109920640093665,17708.775999999998,4.3854388,0.00107965,3.50539825e-05,0.1829934980494148,77.50248994243887,3.859117585498794,2.8823636380569426,5.113986468474607e-05
31.0,0.017715183,0.19951898,0.000133215,7.0662e-05,4.38575915e-06,1.3475949000000002e-05,3.50666075e-06,3.5035331e-06,20973.593310500444,2.9106825122354985,1.4694005127081973,2.91063773070317,2.910727291628067,17715.183,4.38575915,0.00133215,3.50666075e-05,0.1837763328998699,77.83404079408501,3.859134163041375,2.8818486483007186,5.11379381533672e-05
32.0,0.017721872,0.19935307,0.000143004,7.1181e-05,4.3860936e-06,1.34676535e-05,3.5071502e-06,3.50355905e-06,20956.152719805035,2.9101508537227514,1.468502322287384,2.91010607416329,2.910195631142052,17721.872,4.3860936,0.0014300399999999,3.5071502e-05,0.1851261378413523,78.40571817615924,3.859162746910528,2.8813113865018094,5.113592555749946e-05
33.0,0.017727098,0.19921466,0.000147641,7.1503e-05,4.3863549e-06,1.3460733e-05,3.50738205e-06,3.50357515e-06,20941.60295090532,2.9097070880015097,1.4677530091890485,2.909662310084271,2.9097518637782525,17727.098,4.386354900000001,0.00147641,3.50738205e-05,0.185963589076723,78.76040048257137,3.859180481025774,2.8808919135451254,5.113435225201357e-05
34.0,0.01772906,0.19912201,0.000151347,7.2042e-05,4.386453e-06,1.34561005e-05,3.50756735e-06,3.5036021e-06,20931.86350947365,2.909409919022256,1.467251427955317,2.909365142202452,2.909454693701344,17729.06,4.386453,0.0015134699999999,3.50756735e-05,0.1873654096228868,79.35410782156555,3.859210166392714,2.88073449403867,5.113376138199399e-05
35.0,0.017736388,0.19903731,0.000156174,7.2499e-05,4.3868194e-06,1.34518655e-05,3.5078087e-06,3.50362495e-06,20922.95977834291,2.9091381666339027,1.4667928858020842,2.909093390816059,2.9091829403108225,17736.388,4.3868194,0.0015617399999999,3.5078087e-05,0.1885539661898569,79.85749233718786,3.859235335618536,2.8801468438230966,5.1131553524097484e-05
36.0,0.017732388,0.19899078,0.000159733,7.2686e-05,4.3866194e-06,1.3449539e-05,3.50798665e-06,3.5036343e-06,20918.068507864595,2.90898884571456,1.4665409853724507,2.9089440704466165,2.909033618841469,17732.388000000003,4.3866194,0.00159733,3.5079866499999994e-05,0.1890403120936281,80.0634724343899,3.859245634623392,2.880467553769701,5.1132758878136286e-05
37.0,0.017738372,0.19895609,0.000163732,7.2893e-05,4.3869186e-06,1.34478045e-05,3.5081866e-06,3.50364465e-06,20914.42186757032,2.908877505423413,1.4663531833972956,2.908832730565195,2.9089222781405093,17738.372,4.3869186,0.00163732,3.5081865999999994e-05,0.1895786736020806,80.29148248851207,3.859257035126177,2.879987825011174,5.113095549846847e-05
38.0,0.017744877,0.19881099,0.000167731,7.3495e-05,4.38724385e-06,1.34405495e-05,3.50838655e-06,3.50367475e-06,20899.168840568305,2.908411651953311,1.465567652506692,2.908366878806611,2.908456422958538,17744.877,4.38724385,0.00167731,3.5083865499999993e-05,0.1911443433029908,80.95458419180432,3.859290190211184,2.87946669311211,5.112899394354997e-05
39.0,0.017749105,0.19867935,0.000172463,7.418e-05,4.38745525e-06,1.3433967500000002e-05,3.50862315e-06,3.503709e-06,20885.3307394343,2.9079888120593678,1.4648549902982906,2.9079440404622408,2.9080335815147005,17749.105000000003,4.38745525,0.00172463,3.50862315e-05,0.1929258777633289,81.70911021631451,3.8593279165124414,2.879128180904311,5.1127718360355345e-05
40.0,0.017751848,0.19854262,0.000174096,7.4377e-05,4.3875924e-06,1.3427131e-05,3.5087048e-06,3.50371885e-06,20870.957573466105,2.9075494202462173,1.4641147722509285,2.907504650255373,2.9075941880949374,17751.848,4.3875924,0.00174096,3.5087048e-05,0.1934382314694408,81.92610529197668,3.85933876626639,2.8789086499822796,5.112689052833019e-05
41.0,0.017756715,0.19846568,0.000174305,7.4927e-05,4.38783575e-06,1.3423284e-05,3.50871525e-06,3.50374635e-06,20862.869579685717,2.9073020771989944,1.4636982405712384,2.907257308110585,2.907346844145088,17756.715,4.38783575,0.00174305,3.50871525e-05,0.1948686605981794,82.53192910727705,3.8593690574570583,2.878519294494021,5.112542114948937e-05
42.0,0.017765074,0.19836405,0.000174054,7.5435e-05,4.3882537e-06,1.34182025e-05,3.5087027e-06,3.50377175e-06,20852.18615353675,2.9069752616418016,1.463148044124567,2.906930493743828,2.9070200273972118,17765.074,4.3882537,0.00174054,3.5087027e-05,0.1961898569570871,83.09149001304523,3.8593970355024254,2.8778510767809946,5.112289594677577e-05
43.0,0.017768684,0.19823201,0.000174996,7.5591e-05,4.3884342e-06,1.34116005e-05,3.5087498e-06,3.50377955e-06,20838.306004085716,2.906550484832781,1.4624332164278384,2.9065057184787344,2.9065952490439413,17768.684,4.3884342,0.0017499599999999,3.5087497999999993e-05,0.196595578673602,83.26332367702133,3.859405627185467,2.877562686784141,5.1121804777398694e-05
44.0,0.017770885,0.1980965,0.000175038,7.6006e-05,4.38854425e-06,1.3404825e-05,3.5087519e-06,3.5038003e-06,20824.061085484456,2.9061143442124777,1.4616996031198737,2.906069579439734,2.9061591068420025,17770.885000000002,4.38854425,0.00175038,3.5087519e-05,0.1976749024707412,83.72044528311147,3.859428483265731,2.8773869138657444,5.112113931593498e-05
45.0,0.01777417,0.19800833,0.000174682,7.5498e-05,4.3887085e-06,1.34004165e-05,3.5087341e-06,3.5037749e-06,20814.792585203497,2.9058304586792665,1.4612222753554045,2.90578569493366,2.905875220281437,17774.17,4.3887085,0.00174682,3.5087341e-05,0.1963537061118335,83.16088437734317,3.859400505220563,2.877124652603856,5.112014585906266e-05
46.0,0.017781433,0.19789527,0.000175499,7.4916e-05,4.38907165e-06,1.33947635e-05,3.50877495e-06,3.5037458e-06,20802.90762839545,2.905466307319395,1.46061020007979,2.905421544888864,2.9055110676062097,17781.433,4.38907165,0.00175499,3.50877495e-05,0.1948400520156046,82.51981263097097,3.859368451633273,2.876545145326703,5.1117948290269055e-05
47.0,0.017784382,0.19776589,0.000174253,7.4688e-05,4.3892191000000005e-06,1.33882945e-05,3.50871265e-06,3.5037344e-06,20789.30710025265,2.9050494172347823,1.4599097728804358,2.9050046563063736,2.905094176019153,17784.382,4.389219100000001,0.00174253,3.5087126499999994e-05,0.1942470741222366,82.2686711220829,3.8593558945576953,2.8763099818291584,5.111705558880075e-05
48.0,0.017789726,0.1976816,0.000174285,7.4553e-05,4.3894863e-06,1.338408e-05,3.50871425e-06,3.50372765e-06,20780.446468646867,2.9047777167024376,1.459453450352738,2.90473295675105,2.9048224745095825,17789.726,4.3894863,0.0017428499999999,3.50871425e-05,0.1938959687906372,82.11996891287288,3.859348459447304,2.875884029977386,5.1115437268212105e-05
49.0,0.017793282,0.19760752,0.000174075,7.3754e-05,4.3896641e-06,1.3380376e-05,3.50870375e-06,3.5036877e-06,20772.65912033323,2.9045388618486068,1.4590524019145856,2.904494102754847,2.904583618797943,17793.282000000003,4.3896641,0.00174075,3.50870375e-05,0.191817945383615,81.23987213391845,3.859304454608335,2.8756007342204177,5.1114359965964695e-05
50.0,0.017798096,0.19746997,0.000174222,7.3485e-05,4.3899048e-06,1.33734985e-05,3.5087111e-06,3.50367425e-06,20758.199755315123,2.9040951997350786,1.4583077446161532,2.9040504422311426,2.9041399550942475,17798.096,4.3899048,0.0017422199999999,3.5087110999999995e-05,0.1911183355006502,80.9435692133444,3.8592896394623466,2.875217396480159,5.11129009863609e-05
51.0,0.017799429,0.19737099,0.000174264,7.3163e-05,4.38997145e-06,1.33685495e-05,3.5087132e-06,3.50365815e-06,20747.794899266475,2.903775813197929,1.4577718945296478,2.903731056835926,2.903820567414918,17799.429,4.38997145,0.00174264,3.5087132e-05,0.1902808842652796,80.58888690693209,3.859271905347015,2.8751112863829453,5.1112496881167147e-05
52.0,0.017802053,0.1972618,0.00017328,7.2935e-05,4.39010265e-06,1.336309e-05,3.508664e-06,3.50364675e-06,20736.31675992568,2.903423354483559,1.4571807703535968,2.903378599379246,2.90346810744259,17802.053000000004,4.39010265,0.0017327999999999,3.508663999999999e-05,0.1896879063719115,80.33774539804408,3.8592593482716353,2.8749024555852505,5.111170125715603e-05
53.0,0.017805598,0.19722119,0.000173269,7.252e-05,4.3902799e-06,1.33610595e-05,3.50866345e-06,3.503626e-06,20732.047804539383,2.903292233908374,1.4569609191512023,2.903247479271274,2.903336986400089,17805.597999999998,4.3902799,0.00173269,3.50866345e-05,0.1886085825747724,79.88062379195385,3.8592364921912576,2.8746204241246565,5.111062607365824e-05
54.0,0.017808893,0.19710568,0.000172777,7.1939e-05,4.39044465e-06,1.3355284000000002e-05,3.50863885e-06,3.50359695e-06,20719.905301789546,2.902919177321436,1.4563355802595856,2.902874424011645,2.902963928485554,17808.893,4.390444650000001,0.0017277699999999,3.5086388499999995e-05,0.1870975292587776,79.2406535434276,3.859204493678888,2.8743583819946976,5.110962640353378e-05
55.0,0.017816623,0.19694038,0.000173133,7.1544e-05,4.39083115e-06,1.3347019e-05,3.50865665e-06,3.5035772e-06,20702.5288347776,2.902385057084805,1.4554406922084708,2.902340305670271,2.9024298063532523,17816.623,4.39083115,0.00173133,3.5086566499999995e-05,0.1860702210663199,78.80556189425738,3.85918273909644,2.8737440143261352,5.1107280021334134e-05
56.0,0.017824743,0.19679936,0.000170945,7.1067e-05,4.39123715e-06,1.3339968000000002e-05,3.50854725e-06,3.50355335e-06,20687.70470060928,2.9019291490205905,1.4546772492988025,2.901884399219026,2.9019738966757127,17824.743000000002,4.39123715,0.00170945,3.50854725e-05,0.1848296488946684,78.2801474217151,3.859156468372888,2.8730992196847116,5.1104813488134226e-05
